StuID,IsSucc,checkTime,ProofPath,checkinType,checkinResult
201412030210,False,null,null,auto,Absence
201416920401,False,null,null,auto,Absence
201416920403,False,null,null,auto,Absence
201416920405,False,null,null,auto,Absence
201416920406,False,null,null,auto,Absence
201416920215,False,null,null,auto,Absence
201416920217,False,null,null,auto,Absence
201416920218,False,null,null,auto,Absence
201416920219,False,null,null,auto,Absence
201416920220,False,null,null,auto,Absence
201516920711,False,null,null,auto,Absence
201416920105,False,null,null,auto,Absence
201416920106,False,null,null,auto,Absence
201416920101,False,null,null,auto,Absence
201416920102,False,null,null,auto,Absence
111111111111,False,null,null,auto,Absence
201416010104,False,null,null,auto,Absence
201416010105,False,null,null,auto,Absence
201416010106,False,null,null,auto,Absence
201416010107,False,null,null,auto,Absence
201416010108,False,null,null,auto,Absence
